+------------------------------------------------------------------+
| AINE-DRL Training Start!                                         |
|==================================================================|
| ID: CartPole-v1-NoVelocity_RecurrentPPO                          |
| Output Path: results/CartPole-v1-NoVelocity_RecurrentPPO         |
|------------------------------------------------------------------|
| Training INFO:                                                   |
|     number of environments: 16                                   |
|     total time steps: 200000                                     |
|     summary frequency: 2000                                      |
|     agent save frequency: 20000                                  |
|------------------------------------------------------------------|
| Agent INFO:                                                      |
|     name: Recurrent PPO                                          |
|     device: cuda:0                                               |
+------------------------------------------------------------------+

[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_RecurrentPPO/agent.pt
[AINE-DRL] training time: 368.94, time steps: 142000, cumulated reward: 195.40
[AINE-DRL] training time: 373.85, time steps: 144000, cumulated reward: 278.38
[AINE-DRL] training time: 379.08, time steps: 146000, cumulated reward: 195.70
[AINE-DRL] training time: 384.38, time steps: 148000, cumulated reward: 240.63
[AINE-DRL] training time: 389.06, time steps: 150000, cumulated reward: 265.50
[AINE-DRL] training time: 393.82, time steps: 152000, cumulated reward: 207.22
[AINE-DRL] training time: 398.61, time steps: 154000, cumulated reward: 355.80
[AINE-DRL] training time: 403.45, time steps: 156000, cumulated reward: 277.62
[AINE-DRL] training time: 408.22, time steps: 158000, cumulated reward: 268.86
[AINE-DRL] training time: 414.21, time steps: 160000, cumulated reward: 251.75
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_RecurrentPPO/agent.pt
[AINE-DRL] training time: 419.43, time steps: 162000, cumulated reward: 358.60
[AINE-DRL] training time: 424.38, time steps: 164000, cumulated reward: 356.67
[AINE-DRL] training time: 429.56, time steps: 166000, cumulated reward: 318.33
[AINE-DRL] training time: 434.44, time steps: 168000, cumulated reward: 336.29
[AINE-DRL] training time: 439.65, time steps: 170000, cumulated reward: 384.40
[AINE-DRL] training time: 444.84, time steps: 172000, cumulated reward: 234.33
[AINE-DRL] training time: 450.16, time steps: 174000, cumulated reward: 257.83
[AINE-DRL] training time: 455.24, time steps: 176000, cumulated reward: 250.13
[AINE-DRL] training time: 460.71, time steps: 178000, cumulated reward: 343.14
[AINE-DRL] training time: 465.47, time steps: 180000, cumulated reward: 256.38
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_RecurrentPPO/agent.pt
[AINE-DRL] training time: 470.24, time steps: 182000, cumulated reward: 277.57
[AINE-DRL] training time: 475.07, time steps: 184000, cumulated reward: 289.50
[AINE-DRL] training time: 480.14, time steps: 186000, cumulated reward: 435.80
[AINE-DRL] training time: 485.45, time steps: 188000, cumulated reward: 297.29
[AINE-DRL] training time: 490.65, time steps: 190000, cumulated reward: 275.57
[AINE-DRL] training time: 495.90, time steps: 192000, cumulated reward: 276.71
[AINE-DRL] training time: 501.03, time steps: 194000, cumulated reward: 297.33
[AINE-DRL] training time: 505.93, time steps: 196000, cumulated reward: 269.44
[AINE-DRL] training time: 511.14, time steps: 198000, cumulated reward: 181.82
[AINE-DRL] training time: 515.96, time steps: 200000, cumulated reward: 293.67
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_RecurrentPPO/agent.pt
[AINE-DRL] Training is finished.

