+--------------------------------------------------------------+
| AINE-DRL Training Start!                                     |
|==============================================================|
| ID: CartPole-v1-NoVelocity_NaivePPO                          |
| Output Path: results/CartPole-v1-NoVelocity_NaivePPO         |
|--------------------------------------------------------------|
| Training INFO:                                               |
|     number of environments: 16                               |
|     total time steps: 200000                                 |
|     summary frequency: 2000                                  |
|     agent save frequency: 20000                              |
|--------------------------------------------------------------|
| Agent INFO:                                                  |
|     name: PPO                                                |
|     device: cuda:0                                           |
+--------------------------------------------------------------+

[AINE-DRL] training time: 279.27, time steps: 142000, cumulated reward: 43.22
[AINE-DRL] training time: 283.19, time steps: 144000, cumulated reward: 39.76
[AINE-DRL] training time: 287.14, time steps: 146000, cumulated reward: 40.41
[AINE-DRL] training time: 291.06, time steps: 148000, cumulated reward: 44.98
[AINE-DRL] training time: 294.81, time steps: 150000, cumulated reward: 45.00
[AINE-DRL] training time: 298.92, time steps: 152000, cumulated reward: 46.47
[AINE-DRL] training time: 302.93, time steps: 154000, cumulated reward: 43.33
[AINE-DRL] training time: 306.93, time steps: 156000, cumulated reward: 43.46
[AINE-DRL] training time: 310.91, time steps: 158000, cumulated reward: 46.07
[AINE-DRL] training time: 314.82, time steps: 160000, cumulated reward: 44.33
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_NaivePPO/agent.pt
[AINE-DRL] training time: 318.48, time steps: 162000, cumulated reward: 42.98
[AINE-DRL] training time: 322.80, time steps: 164000, cumulated reward: 40.78
[AINE-DRL] training time: 327.05, time steps: 166000, cumulated reward: 41.60
[AINE-DRL] training time: 331.56, time steps: 168000, cumulated reward: 44.20
[AINE-DRL] training time: 336.18, time steps: 170000, cumulated reward: 42.57
[AINE-DRL] training time: 340.35, time steps: 172000, cumulated reward: 48.05
[AINE-DRL] training time: 344.80, time steps: 174000, cumulated reward: 41.83
[AINE-DRL] training time: 349.12, time steps: 176000, cumulated reward: 41.56
[AINE-DRL] training time: 353.44, time steps: 178000, cumulated reward: 42.21
[AINE-DRL] training time: 357.48, time steps: 180000, cumulated reward: 44.31
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_NaivePPO/agent.pt
[AINE-DRL] training time: 361.43, time steps: 182000, cumulated reward: 45.86
[AINE-DRL] training time: 366.52, time steps: 184000, cumulated reward: 47.21
[AINE-DRL] training time: 371.08, time steps: 186000, cumulated reward: 43.49
[AINE-DRL] training time: 375.22, time steps: 188000, cumulated reward: 42.64
[AINE-DRL] training time: 379.94, time steps: 190000, cumulated reward: 42.76
[AINE-DRL] training time: 384.48, time steps: 192000, cumulated reward: 45.11
[AINE-DRL] training time: 388.50, time steps: 194000, cumulated reward: 43.33
[AINE-DRL] training time: 393.16, time steps: 196000, cumulated reward: 43.67
[AINE-DRL] training time: 397.59, time steps: 198000, cumulated reward: 47.21
[AINE-DRL] training time: 401.95, time steps: 200000, cumulated reward: 42.08
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_NaivePPO/agent.pt
[AINE-DRL] Training is finished.

